source_id,Pristine_mag_CaHK,Pristine_flux_CaHK,Pristine_flux_error_CaHK
0,21.317369715312584,2.164373031363585e-19,5.092641009544361e-19
1,21.401739613599343,2.0025536248911248e-19,2.8996272992332354e-19
2,20.47451564769334,4.704069622923981e-19,1.6779800010292227e-19
3,19.92287924666429,7.818587508910157e-19,9.366494605646548e-19
4,,-9.693232327022527e-20,4.8979195495063405e-19
5,,-4.929031484005321e-21,9.012651966929481e-20
6,,-3.1688407713094705e-18,2.1149267368510483e-18
7,20.539764192297856,4.429700084813047e-19,1.3440161087409562e-19
8,21.37547980870966,2.0515782042338664e-19,1.1127753596831716e-18
9,20.042224836292714,7.004708477280748e-19,8.7215492376874e-19
10,20.44773226246598,4.821554665203711e-19,6.070130561856446e-19
11,20.939379262219948,3.065690408483918e-19,3.935661506053491e-19
12,,-3.02098318378586e-20,3.8546616787545187e-19
13,19.88936770197066,8.063673211056473e-19,1.6229561040291898e-18
14,21.003046545459814,2.8910884708415233e-19,1.0169292764535015e-19
15,21.701156900439212,1.5199077862373947e-19,4.592359175507034e-19
16,20.44134268892032,4.850013242814925e-19,5.05778713345685e-20
17,23.286075736999198,3.530609660520003e-20,4.1515854884764256e-19
18,20.99382558778311,2.9157465127992208e-19,1.4966383032577981e-19
19,21.434251278493658,1.9434773725246471e-19,2.4332409758760894e-19
20,21.932463073391272,1.2282726192910653e-19,5.844821945506333e-19
21,21.372120263870787,2.0579361421181495e-19,2.337457022658907e-19
22,22.539097938779168,7.024910968293871e-20,4.896650739539527e-19
23,20.944644527861943,3.050859367515404e-19,4.071820993744695e-19
24,,-6.783970054579792e-19,1.2186193910122441e-18
25,,-1.2526938437501231e-19,4.525670806043258e-19
26,,-1.0053075619173174e-18,1.582023934865647e-18
27,22.438520693602786,7.706758011445543e-20,4.467445199848039e-19
28,20.28025443659087,5.625721456565971e-19,9.12514823032763e-19
29,20.30177623151336,5.515304659443492e-19,2.217519721137547e-19
30,21.359573380783697,2.0818558140519536e-19,4.487891204750623e-19
31,20.84112728809107,3.3560551174982576e-19,5.065323322294401e-19
32,22.00204894649018,1.152021067807498e-19,7.862607683049073e-20
33,21.203514077874775,2.4036673751504516e-19,3.9383053175966977e-19
34,21.02149088819265,2.842389857054598e-19,5.3260288878583765e-19
35,,-5.787843338236179e-20,4.508609111371884e-19
36,21.169350805573448,2.480502549633676e-19,1.5576255693463023e-19
37,20.793359910425057,3.5070021798794104e-19,8.420473976461273e-19
38,21.098077082893962,2.648799994501078e-19,9.362093848274207e-20
39,22.249180841677475,9.175033599302138e-20,5.268860144214741e-19
40,20.311102464816354,5.468132305182431e-19,5.854210391905202e-19
41,,-3.282031912717496e-20,3.9925426456871725e-19
42,21.32364050684907,2.1519084814014054e-19,1.1901696369274423e-19
43,20.66526522935563,3.9461528962007017e-19,1.0358386993954479e-19
44,21.113462172629003,2.6115306721676253e-19,1.945168343811361e-19
45,20.520756684484308,4.50793168764318e-19,4.123677780589766e-19
46,21.072349118821666,2.7123164158765214e-19,3.108922992456529e-19
47,21.292338231802507,2.2148519796588797e-19,2.6235364151421777e-19
48,,-1.0559288285598017e-19,9.43144366799677e-19
49,,-3.1347962136079963e-20,5.895868897728768e-19
50,21.24733111853345,2.308593946773655e-19,3.2986010126554343e-19
51,21.836493439316097,1.3417840476224974e-19,4.445707622422582e-19
52,21.12251920267313,2.5898363306540204e-19,2.5789014916702356e-19
53,19.996294023039017,7.307391754115741e-19,1.1910160196469044e-18
54,21.57126531029689,1.7130651335985151e-19,8.526560484447985e-19
55,,-9.2945627806057e-19,5.975517197235254e-19
56,21.661823086083448,1.5759802315168776e-19,4.370528985795687e-19
57,,-1.4885412549239324e-18,5.884695600449087e-19
58,22.141581241114242,1.0130887753389496e-19,4.077780362654462e-19
59,20.764251904324187,3.602294692961875e-19,5.002955311656009e-19
60,20.53804868109383,4.436704739159016e-19,9.989380593057016e-19
61,23.607492374006444,2.6259294290616113e-20,2.5768283816077054e-19
62,21.624001625173573,1.6318466713308458e-19,5.567031503055392e-19
63,,-4.204893024280473e-19,1.6660959632898258e-19
64,,-1.4264430352177976e-19,5.678869161409897e-19
65,20.922141496033806,3.1147514852084565e-19,5.130401461210053e-19
66,,-1.1697728716159642e-18,1.2284423771265545e-18
67,21.099430915103493,2.645499196475043e-19,2.970104414821602e-19
68,19.665909295470147,9.90640962359159e-19,1.9021305423131988e-18
69,20.058539549525495,6.900239742929519e-19,7.986137142601816e-19
70,20.677070674028815,3.9034779493462423e-19,3.359485136324224e-19
71,19.934120892326558,7.738051985730285e-19,1.2318027192740894e-19
72,,-1.4494181124340703e-18,3.171267990333341e-19
73,21.782912834906558,1.4096615888580265e-19,4.921621094542982e-19
74,20.86233482605147,3.291137822631549e-19,1.8367410614596335e-19
75,21.07629290102133,2.702482184154124e-19,5.022306233416646e-19
76,,-2.384229083093391e-18,3.447708994109642e-18
77,21.163686798904894,2.4934765052413857e-19,3.4215864494915135e-19
78,21.304772924359977,2.1896304818377644e-19,5.877649764218388e-19
79,21.61895600902871,1.6394478116818038e-19,1.4926609778030078e-19
80,21.42447542033325,1.961055260767101e-19,1.6300517230870717e-19
81,20.74122592058288,3.679506985509463e-19,2.492419105583195e-19
82,22.254651833615075,9.128917169384828e-20,5.920490298023497e-19
83,22.030711354221214,1.1220067207159667e-19,3.985361663785594e-20
84,20.17785848818293,6.182108240695308e-19,5.1410648976635595e-19
85,21.76645724583204,1.4311893692416843e-19,5.424804930122352e-19
86,21.289699615706557,2.2202411811933965e-19,5.615867932673014e-20
87,21.25974516280971,2.282348372529175e-19,8.810722202188266e-20
88,22.144080107585058,1.0107597910654124e-19,4.2437358800784644e-19
89,22.30894520132423,8.683642178994114e-20,5.05418935470114e-19
90,22.793726466163033,5.556347683872532e-20,6.244599006866689e-19
91,21.702758788405955,1.5176669778537913e-19,8.676676037869747e-19
92,20.59513716158808,4.2094478680542914e-19,3.085913671815602e-19
93,19.93703431093088,7.717315858024029e-19,8.079242605219086e-19
94,21.34353289941203,2.112841118726697e-19,1.9107972278907518e-19
95,23.219354084446177,3.754381197699429e-20,3.2393162700467913e-19
96,,-1.396457365505122e-19,1.719057014471615e-19
97,20.15435635582674,6.317386640634011e-19,4.877860579492313e-19
98,20.760022947182225,3.616353040265083e-19,3.470489624783125e-19
99,22.758158272884803,5.741385271288051e-20,3.7248687199137194e-19
100,21.944517261627045,1.2147113664699562e-19,9.218316288273544e-20
101,20.441709394770267,4.84837543437972e-19,5.459288642424736e-19
102,21.765431402878495,1.4325422479008228e-19,5.594904356159339e-19
103,,-1.3842065683729004e-19,4.846069506772548e-19
104,20.990081428380844,2.925818816726062e-19,7.457850044603884e-19
105,21.69510578024482,1.528402318799142e-19,6.012622356628156e-19
106,21.159535291927877,2.5030290107886804e-19,2.3495983344092217e-19
107,22.197804163812382,9.619629255590818e-20,2.1357049264157777e-19
108,,-1.7802281066515167e-18,3.486737842412494e-19
109,20.792337199595433,3.5103071621102607e-19,7.47273291186439e-20
110,,-2.285814655950176e-18,1.097287004643797e-18
111,21.53483012403694,1.7715277119847867e-19,3.2087383430228857e-19
112,,-3.4753659055594243e-19,4.91248027835599e-19
113,21.199911650327646,2.411655888927907e-19,1.6763398919879262e-19
114,23.23851530585789,3.688704602926674e-20,1.595153371428909e-19
115,20.888353485213702,3.213206271287068e-19,2.3494663416280393e-19
116,20.954155249473207,3.0242514685564208e-19,8.346261327813753e-20
117,20.666808584842183,3.940547492138358e-19,1.5820137846940733e-19
